"filename", "language", "Markdown", "C++", "comment", "blank", "total"
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/README.md", "Markdown", 1, 0, 0, 0, 1
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/docs/project_classes_structs.md", "Markdown", 17, 0, 0, 16, 33
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/docs/project_sketch.md", "Markdown", 74, 0, 0, 10, 84
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/docs/projekt.md", "Markdown", 6, 0, 0, 2, 8
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/include/arguments.h", "C++", 0, 4, 15, 3, 22
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/include/calendar.h", "C++", 0, 48, 56, 25, 129
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/include/color.h", "C++", 0, 26, 49, 17, 92
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/include/date.h", "C++", 0, 33, 61, 23, 117
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/include/event.h", "C++", 0, 46, 68, 24, 138
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/include/file.h", "C++", 0, 12, 19, 5, 36
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/include/form.h", "C++", 0, 9, 14, 3, 26
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/include/time.h", "C++", 0, 24, 45, 16, 85
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/src/arguments.cpp", "C++", 0, 51, 0, 5, 56
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/src/calendar.cpp", "C++", 0, 529, 54, 109, 692
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/src/color.cpp", "C++", 0, 142, 12, 38, 192
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/src/date.cpp", "C++", 0, 160, 0, 47, 207
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/src/event.cpp", "C++", 0, 138, 0, 37, 175
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/src/file.cpp", "C++", 0, 57, 0, 14, 71
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/src/form.cpp", "C++", 0, 77, 13, 23, 113
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/src/main.cpp", "C++", 0, 21, 14, 9, 44
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/src/time.cpp", "C++", 0, 89, 0, 26, 115
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/tests/color.test.cpp", "C++", 0, 58, 0, 14, 72
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/tests/date.test.cpp", "C++", 0, 112, 0, 30, 142
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/tests/event.test.cpp", "C++", 0, 69, 0, 13, 82
"/home/mike/Projects/daf76dcf-gr31-repo/Projekt/tests/time.test.cpp", "C++", 0, 71, 0, 22, 93
"Total", "-", 98, 1776, 420, 531, 2825